AADHAAR _NUMBER,PENSIONER_NAME,DOB,PAN_NO,SALARY_ERND,ALLOWANCES,PENSION_TYPE,BANK_NAME,ACCOUNT_NO,BANK_TYPE
232446938642,Swathi,29031998,8472106637,1000000,5000,SELF ,SBI,2318076598,PUBLIC
250489433088,Narmadha,25061998,3468137502,20000,1000,FAMILY,HDFC,4687141227,PRIVATE
515731128899,Manish,27082000,2109980200,30000,2000,SELF ,INDIANBANK,1217967533,PUBLIC
204346107136,Kumar,29092001,5078184200,40000,3000,FAMILY,SBI,6793875439,PUBLIC
543217447751,Sankar,1012002,7391164562,50000,5000,SELF ,ICICI,207015248,PRIVATE
968564157684,Vivek,1022001,7203395803,60000,6000,SELF ,SBI,4041259405,PUBLIC
728865227461,Srimathi,3032003,4739236072,70000,7000,FAMILY,HDFC,4074719040,PRIVATE
302523049805,Ramya,4042004,5936693090,80000,8000,SELF ,INDIANBANK,3593087893,PUBLIC
926927381426,Manusha,5052005,6316414920,90000,9000,FAMILY,SBI,1418138290,PUBLIC
121741644087,Lavanya,6062006,7419743540,100000,1000,SELF ,SBI,9072697919,PRIVATE
931776203174,Murugan,7072007,292533881,200000,2000,FAMILY,HDFC,6269054930,PUBLIC
163623372216,Punitha,8082008,691618649,300000,3000,SELF ,INDIANBANK,8250066951,PRIVATE
490193518482,Rita,9092009,5011302655,400000,4000,FAMILY,SBI,8833549614,PUBLIC
747439043205,Anandh,10102010,8400792706,500000,5000,FAMILY,ICICI,7208244823,PUBLIC
939391710982,Raghul,11012011,2440788368,15000,1500,FAMILY,ICICI,2728010024,PRIVATE
25172445856,Manikandan,12042001,6437201841,10000,5000,SELF ,INDIANBANK,599622986,PUBLIC
43722873015,Rajendran,13032000,7883621921,23000,6000,FAMILY,SBI,1989887605,PRIVATE
993891153268,Sobahna,14072013,3512248876,25000,7000,SELF ,ICICI,7609342267,PUBLIC
112316060514,Priya,15092012,391476996,67000,8000,FAMILY,SBI,8845918839,PUBLIC
84265129606,Shree,16082026,9527100080,70500,9000,SELF ,ICICI,5591971390,PRIVATE
